LinkedIn Name,Corpus
MS Alam, neurological    MS Alam currently working Chief Executive Officer Recyclico Waste Management. background includes Electronics Electricals Waste Management eWaste| hWaste | ITAD | EPR | PRO. Based Delhi India Waste Treatment Disposal industry. Back to Mail Online home. back to the page you came from.
"Shashibhushan Biliangadi, PhD",phthalmologist Shashibhushan Biliangadi PhD currently working Chief Executive Officer TREE Green Solutions. He is based in Mumbai Maharashtra India Environmental Services industry. He has worked for TREE for 4 years 2 months and has a PhD in Morphological Studies. His background includes years working with clients in India.
Shankar M K,Shankar M K is the CEO and Director of ArSta Eco P Limited. The company converts agricultural residue useful products into useful products. Shankar is a biochar production expert and a biocarbon clean BBQ Briquettes expert. He has been working at the company for 12 years. He is based in Bengaluru.
Sachin Syph,"Sachin Syph is the Chief Executive Officer of Velos Corporation. He is based in Mumbai, Maharashtra, India. His background includes EIA EMP CRZ CZMP land survey EIA CRZ profile high scale(for eg Shipyard Petroleum Plants Mines River projects etc)"
Gaurav Wahi,"Gaurav Wahi is the CEO of PIFTECH India, based in Gurgaon, Haryana, India. He is a professional entrepreneur with a successful career spanning 20 years. His background includes Results driven Management, Event Management, and General Management. Wahi has been working at the company for 7 years 5 months."
sunil sharma,"phthalmologist sunil sharma is the founder and CEO of Pure Oxidane Technology Pvt Ltd. He is based in Ahmedabad, Gujarat, India. His background includes nan, nanotechnology, nanomaterials and nanotechnology. He has worked in the environmental services industry for more than a decade."
Bhavesh Jha,"Bhavesh Jha currently working Founder CEO Root Logix LLP based in Delhi, India. Bhavesh's background includes working enabling officer and working with energy environment experts. He is the founder and chief executive officer of the consulting firm Root Logx LLP. The firm provides research based technical consulting services industry."
Srikanta Ramnath,"Srikanta Ramnath is the MD CEO of Ecowave Recycling Private Limited. He is based in Bengaluru, Karnataka, India. Srikanta has worked in the recycling industry for 3 years. He has also been a senior consultant for the company. His background includes working closely with BBMP officials."
Jitendra Kumar,"Jitendra Kumar is the Chief Executive Officer of B J WaterTec Pools. He is based in Nainital Uttarakhand, India. His background includes Industrial water waste water treatment. He has a graduate degree in Environment Management from the University of Oxford. He also has a diploma in Chemical Engineering."
Pravin Deshpande,"Pravin Deshpande is CEO of Bionomic Backers. He has worked in the nan industry for more than 13 years. He is based in Mumbai, Maharashtra, India. His background includes nan industry, nanotechnology and nanomaterials. Pravin is a graduate of the Indian Institute of Technology, Mumbai. He also studied at the University of Mumbai."
Y K SHARMA,"Y K SHARMA is the Chief Executive Officer of SD AQUATECH PRIVATE LIMITED. He is based in Faridabad, Haryana, India. He has worked in the water waste water industry for 15 years. His background includes working in the nan industry."
Vivek Kulkarni,Vivek Kulkarni is the Chief Executive Officer of Building Environment India Pvt Ltd. His background includes NABET Accredited EIA Coordinator FAE Ecology Biodiversity avid Wildlife scientist Environmental Educator Environmental planner. He has worked in the nan industry for 9 years.
Tarun Chauhan,"Tarun Chauhan is the CEO Founder of A3 Techno Crafts Pvt ltd. He is based in Delhi, India. His background includes expertise in waste water treatment plants and waste water management systems. His company has recently installed 90 95 waste water recovery recycling plants."
Sandeep Patel,"Sandeep Patel is CEO Founder/ Director of NEPRA @Letsrecycle_IN. He is based in Ahmedabad, Gujarat, India. Sandeep has 20+ years experience building Ideas business 17 + years experience Waste Management Recycling India."
Dr. Suresh Kumbar,"Dr. Suresh Kumbar is the Chief Executive Officer of Envirowiser services Pvt. Ltd. He is based in Bengaluru, India. He has over two years of experience in the industrial odour industry. His background includes experience in industrial odours, chemical and pharmaceutical industries."
Shailendra Singh,Shailendra Singh currently working Founder CEO SustainMantra based in Noida Uttar Pradesh India. background includes Director Dhartie Net Zero certified Resource Efficiency Sustainability Auditor. 30 years experience chemical coatings plastics industries focus sustainability circular economy. UNDP ASSOCHAM AIPMA Ashaya support enable sustainability initiatives.
Vishnu Sharma Atikukke,"Vishnu Sharma Atikukke is the Chief Executive Officer of Replastiko Private Limited. He is based in Karnataka, India. His background includes 12 years expertise designing sewage effluent treatment plants. He has mentored 12 post graduate students and 10 undergraduates summer interns."
Aayush Garg,"Aayush Garg is the founder and CEO of FuturEco Ventures LLP. He is also the Executive Director of Eco Paryavaran Group. His background includes Hey LinkedIn, Bcom, Nmims University and Ngo Environment Matters. He has worked in the nan industry for 4 years and is passionate about the environment."
Tushar Gandhi,"Tushar Gandhi is the CEO of Day Day Updates Pvt. Ltd. based in Ahmedabad, Gujarat, India. Tushar's background includes Day Day updates private limited company work Green mission committed Environment friendly solution optimized maximum 7R philosophy. Reuse Recycle Reduce Revise Restore Refurbish Recover environmental balance."
"Prabha Nagarajan, PhD",Prabha Nagarajan PhD currently working Chief Executive Officer Openwater.in. Her background includes Scientist entrepreneur speaker sustainability enthusiast. She is committed to driving positive change in the wastewater treatment industry. She has been at the company for 1 years 7 months and has a PhD in wastewater treatment.
Digbijoy Chakraborty,"Digbijoy Chakraborty is the MD CEO of SunEco Tech Ventures Pvt. Ltd. He is based in Kolkata, West Bengal, India. He has worked in the nan industry for 4 years and is passionate about eco-friendly products."
Monisha Narke,"Monisha Narke is the founder and CEO of RUR Greenlife Pvt Ltd. She is based in Mumbai, Maharashtra, India. She has worked in the environmental services industry for 14 years. Her company has filed a patent for Greengold Aerobic Bio Composter. The company's goal is to create 100 aerobic non electricity dependent composters."
Venkkateshhwar Rao Mahankali,"Vikram Mahankali is the Chief Executive Officer of Eesana Enviro Sustainable Solutions Pvt Ltd. He is based in Hyderabad, Telangana, India. He has been working at the company for 6 years 9 months and is currently working as CEO."
Gitanjali Rajamani,"Gitanjali Rajamani is the founder and CEO of GreenMyLife. He is based in Bengaluru, Karnataka, India. His background includes Heading Direct Impact program Nudge Institute. He has worked for 10 years in the environmental services industry."
Kiran R.K,"Kiran R.K currently working Chief Executive Officer Shalini Extracts Pvt Ltd. Based in Bangalore, Karnataka, India. Background includes nan industry. He has worked in the nan industry for 3 years 11 months. He is a graduate of the Indian Institute of Technology, Bangalore."
Abde Ali Shabbir. .,"Abde Ali Shabbir is CEO | COO EMERALD ENGINEERING CONSTRUCTION. He is based in Mumbai Maharashtra, India. He has worked in the construction industry for 11 years. His background includes engineering, construction, and business. He was born in Mumbai, India, and grew up in Pune, Maharashtra."
Pulkit Sethi,"Pulkit Sethi is the Chief Executive Officer of Envirocare, a water wastewater treatment company based in Faridabad, Haryana, India. He is also the Founder and CEO of Amba Engineers Project, an engineering company. Sethi's background includes a master degree in environmental science and 13 years of experience."
Sameer Sharma,                 Sameer Sharma currently working Chief Executive Officer Swaaha Resource Management Private Limited. He is passionate about creating zero waste society developed innovative solutions convert waste energy compost products. His work recognized multiple awards honors including Best Startup award CII 2023 Innovative Startup award Smart City 2020 world record zero waste event site.
Anant Joshi,"Anant Joshi currently working Founder CEO Retraiter. Based Greater Delhi Area nan industry. Background includes nan industry and is based in New Delhi, India. He has been working for 13 years 8 months as CEO of his company. He is a graduate of the Indian Institute of Technology, Delhi."
Shilpa Ramesh Ramani,Shilpa Ramesh Ramani currently working CEO Founder MYNIWA. Based Bengaluru Karnataka India Consumer Services industry. Background includes nan and nan-based nanotechnology. Currently working in Bengaluru as CEO and Founder of MyNIWA company. Has been in the industry for 2 years 11 months.
Milind Kulkarni,Milind Kulkarni is CEO of ERA HYDRO BIOTECH ENERGY PVT LTD India. He is an environmentalist who believes Eco friendly Sustainable Development is the future of the planet. Milind is a graduate from the University of Pune and has worked in the energy industry.
Tejas Shah,"Tejas Shah is the Chief Executive Officer of BIOROCK INDIA. He is based in Ahmedabad, Gujarat, India. His background includes water waste water Treatment Reverse Osmosis Plant design. He has been at the company for 5 years 8 months and is currently working on a five-year plan."
Rahul Bakare,"Rahul Bakare is the CEO and founder of Urdhvam Environmental Technologies Pvt Ltd. He has over 11 years of experience in the environmental services industry. His background includes 30 + years experience in Corporate Development Sector. He is a graduate of the prestigious Indian Institute of Technology, Pune."
Sandeep Goswami,"Sandeep Goswami is the Chief Executive Officer of Sandeep Goswami Associates. He is based in Mumbai, Maharashtra, India. He has worked in the consulting industry for 8 years 6 months. His background includes providing consultation advantages to businesses."
Mansi Jain,Mansi Jain currently working CEO Co Founder DigitalPaani. Jain is based in Delhi India Environmental Services industry. background includes passionate developing scalable solutions tackle problems intersection environment development particular interest water sanitation problems. He is passionate about solving problems in the environment and water sanitation. He has been working with Digital Paani for 3 years.
Nishant Kumar Gautam,"Nishant Kumar Gautam is the founder and CEO of Scrap Minder in Pune, Maharashtra, India. His background includes working in the consumer services industry. He has a Bachelor's degree in Marketing and a Post Graduate Diploma in Intellectual Property Laws. He is also a graduate of Microsoft Office."
Perses Bilimoria,"Perses Bilimoria is the founder and CEO of Earthsoul BIO PRODUCTS. He is based in Mumbai, Maharashtra, India. Perses' background includes nan industry. He has worked in the nan industry for 22 years and is passionate about nan technology. He also has a background in biotechnology."
Chhaya Bhanti,                 Chhaya Bhanti currently working Founder CEO Creative Director. VERTIVER                  Based South Delhi Delhi Delhi India Environmental Services industry 12 years   background includes Founder CEO Vertiver behavior change organization working 30 + multi disciplinary team members climate action natural resource conservation India helped design implement participatory ground vernacular behavior change.
Ravitej Hegde,"Ravitej Hegde is the Chief Executive Officer of Paryaavarneer Engineers Consultants Private Limited. His background includes nan, nanotechnology and environmental services. His company is based in Bengaluru, Karnataka, India, and he is a graduate of the Indian Institute of Technology, Bengaluru."
Prathab Baskar,Prathab Baskar is the Chief Executive Officer of Enviros India Ltd. His background includes a. Spearhead implementation of Zero Liquid Discharge Electro Oxidation based wastewater treatment technology. He also Advocate company business line vision mission and Strengthen technology functions closer business strategy operations.
Durjoy Guha Neogi,Durjoy Guha Neogi is the Co Founder and CEO of DnS Tech Solutions. Durjoy has 20 years of experience in Telecom Technology Mobile and Digital Media. He is a graduate of Indian Institute of Management and holds a degree in Electronics Telecommunication Engineering. He has also worked in a number of other organizations.
Abhishek Tikmani,"Abhishek Tikmani is the Chief Executive Officer of Arvind Envisol. He is based in Ahmedabad, Gujarat, India. He has worked for the company for 8 years 8 months. His background includes nan, nanotechnology and environmental services."
Nidhi Rana,"Nidhi Rana is the Chief Executive Officer of Nature JustBreathe. She is based in Bengaluru, Karnataka, India. Her background includes nan and environmental services. She has been at the company for four years and six months. She also has a PhD in environmental engineering from the Indian Institute of Technology, Bangalore."
Prerna Prasad,"Prerna Prasad is the founder and CEO of Ecoplore, a leading eco hotel chain based in Delhi, India. The company aims to marry tourism sustainability with sustainable tourism experiences. The brand has over 250 eco hotels in India and has been featured on the UN's Go Green holiday."
Shabbir Habib,"Shabbir Habib is the founder of IMPERIO VENTURES. He has worked in the staffing recruiting industry for 5 years. He graduated from HBS and is a qualified business development professional. He lives in Mumbai, Maharashtra, India with his wife and two children."
ASAD WARSI,"Asad Warsi is the Chief Executive Officer of Hoswin Incinerator Pvt. Ltd. Hoswin is based in Indore, Madhya Pradesh, India. The company has been awarded the Cleanest City in India award. Asad is a graduate of the Indian Institute of Management, Indore."
Prathamesh Mishra,Prathamesh Mishra is the founder and CEO of Mumbai-based C.E.O. SOLUTION. He is a passionate environmentalist with a focus on developing innovative sustainable solutions. The company is currently in the incubation stage creating a unique nature based wastewater treatment solution.
Harish H P,Harish H P currently working Founder CEO Resource Environmental Engineering Private Limited. Based Bengaluru Karnataka India Environmental Services industry. Experienced Founder demonstrated history working environmental services industry. Skilled design execution water wastewater treatment plants. Strong business development professional   diamond electrochemistry process address cleaning sanitization challenges.
Sayan Barman (Bon vivant),"                    Sayan Barman Bon vivant currently working Chief Executive Officer Rohan Engineering Enterprise. Based in Kolkata West Bengal India Mechanical Industrial Engineering industry. background includes nan and nan-based technology. Currently working as CEO of Rohan engineering Enterprise based in West Bengal, India."
Harish Kumar,"Harish Kumar is the Chief Executive Officer of Navyanam Innovation. He was born and raised in Jammu Jammu Kashmir, India. He is a graduate from the University of Jammu and Kashmir. He has worked in the nan industry for 7 years and is currently based in India."
Akash Kumar,"Akash Kumar currently working CEO Hariman Solutions. He is based in India. His background includes working in the nan industry and global leaders mitigating local global water crisis. He has been CEO of Hariman for 7 years 11 months. For more information on his work, visit his company's website."
Mamta Rawat,Mamta Rawat is the Founder and CEO of ClimateNama Pvt Ltd. She is a seasoned ESG Sustainability Consultant with 15 years experience. She has spearheaded 150 + projects impacting 15 Million sqft area. Ms. Rawat also serves as the Co Chairperson of the FOCUS Mumbai Chapter.
i v ramesh kumar,itionally    v ramesh kumar currently working Chief Executive Maruti Consultants. background includes Sustainable Manufacturing Development practitioner Energy Efficiency Renewable Energy Green Buildings Programme design Management Measurement Verification Faculty training programmes green business perform achieve trade preparation training manuals microfinancing projects Handles projects international aid agencies USAID UNIDO ADB KOICA.
Prabakaran Pandian,"Prabakaran Pandian is the CEO of Vectron Enterprise based in Chennai, Tamil Nadu, India. His background includes Agrochemical Public Health Pest Control Service product Business areas. He has more than 15 years of experience in Agrochemicals and Pesticides."
Sunita Rajesh,"Sunita Rajesh is the Founder and Chief Executive Officer of eco startup OnlyPlanet.in. Her background includes Devised carbon footprint calculator custom built Indian cities. She has 19 years experience in business, sales and operations. She is currently working as the CEO of the company. She can be reached at sunita.rajesh@onlyplanet.in or +919833950607."
Atul Sharma,"Atul Sharma is the founder and CEO of Ultrapure Water Solutions India LLP. His background includes nan industry. He is based in South Delhi, Delhi, India. He has been working at the company for 4 years and 6 months. Atul is a graduate of the Indian Institute of Technology, Delhi."
hakkeem ismail,"Hekkeem ismail currently working Chief Executive Officer Endynamic Technologies. Based Chennai Tamil Nadu India nan industry. Background includes nan industry and nan technology. Hkkeem has worked in the nan industry for 20 years 8 months  background includes nan. He is currently working as CEO of End dynamic Technologies in Chennai, India."
Raju kawade .,"Raju kawade is the Chief Executive Officer of Vikrama Innovative Technologies. He is based in Hyderabad, Telangana, India. His background includes working in the environmental services industry and the manufacturing of ZLD systems. He has also worked in the nan industry."
Ramapati Kumar,"Ramapati Kumar is Chief Executive Officer of CEED Center Environment Energy Development. His background includes 25 years in the field of social development. He has participated in 200 national international conference enriched debate discussion climate change sustainability. He is a graduate of the Indian Institute of Technology, Delhi."
Siddharth Hande,"Siddharth Hande is the founder and CEO of Kabadiwalla Connect. He is a GIS expert experienced delivering high quality data driven research. His work focuses on developing scalable inclusive solutions in the field of waste management. He also works on Urban Governance, Sustainability and Environment issues."
Saiprasad Bhartu,"Saiprasad Bhartu is the Chief Executive Officer of UrbanAxis Environment Assets LLP. He has 17 years experience in project management, sales and supply chain management. He is based in Goa, India and has worked in Australia, South East and the Middle East. His background includes Project Management, Sales and Supply Chain Management."
Barath Mahadevan,"Barath Mahadevan is CEO Co Founder Climate B Ventures Pvt. Ltd. He is based in New Delhi, India. His company provides end end flood management solutions enterprise government clients. His clients include TexMin Foundation IIT Dhanbad and the Indian government."
Shyam J. Bhan,Shyam J. Bhan is the Chief Executive Officer of Suez India South Asia. He has worked in the environmental sector for over 30 years. He is passionate about sustainable development and digital transformation. He believes that the future of the environment is in the hands of the people of India.
Akshat Patni,"Akshat Patni is the Chief Executive Officer of AJ Sustainology Renewable Pvt Ltd. He is based in Chandigarh, India. His background includes 8 years experience in the environmental industry. His education background includes Masters Environmental Management Business Administration and Bachelors Technology Civil Engineering."
Sekharan Menon,"Sekharan Menon is the Chief Executive Officer of EdgeVarsity Learning Systems Pvt. Ltd. He is a seasoned Business Leader with 16 years Global Business Management experience. Sekharan took step July 1 2015 quitting role Chief People Officer of Subex Ltd. Subex is a software company based in Bengaluru, India."
Amartya Singh,"Amartya Singh is the founder and CEO of AHOMLAMA, a defense technology company based in Bengaluru, Karnataka, India. Amartya's background includes founder pioneering defense technology companies dedicated to advancing national security. Her company provides cutting edge solutions including AI integrations and satellite imaging security consulting."
Elango Sidhan,"Elango Sidhan is the Chief Executive Officer of F care. He is based in Coimbatore, Tamil Nadu, India. His background is in the nan industry. He has worked for F care for more than a decade. He also has a successful start-up company of his own."
Kumar Sahil,"Kumar Sahil is the founder and CEO of environmental services company GREZO. He is based in Noida, Uttar Pradesh, India. His background includes biotechnology engineering and environmental conservation. He has worked for two years 9 months as CEO of the company. The company has been in business for 2 years and 9 months."
Sujit Doshi,"Sujit Doshi is the Chief Executive Officer of Doshion Environment Water Solutions. He has 18 years experience in the water management industry. He is based in Ahmedabad, Gujarat, India. Doshi's background includes Chemical Engineering, MBA and Water Management. His company is a leading water management company in India."
R. Gnana Segaran,"R. Gnana Segaran is CEO Pudhuvai Green Gas Mentor Civil Env Engg Startups Puducherry Technological University. He has 32 Years Working Experience Environmental Management Activities. He is a graduate of IIT Kharagpur West Bengal and the Indian Institute of Technology, Gandhinagar."
Praveen Chandra,"Praveen Chandra is the founder and CEO of Mitcarbon Ventures Pvt. Ltd. He is based in Ahmedabad, Gujarat, India. Chandra's background includes nan, nanotechnology and environmental services. He has been working at Mitcarbon for 2 years and 8 months."
Manoj Patel,"Manoj Patel is the founder and CEO of Room Dekho Com in Bhopal, Madhya Pradesh. His background includes Embedded system design, Automation, scientific instrument manufacture, refilling service provider and nan industry. He is currently working on launching a nanomaterials company."
Rahul Kumar,"Rahul Kumar is the CEO of Treeoz EcoVenture Pvt Ltd. His background includes Social Entrepreneur | Visionary | Learner | Adventurer | Techie | Digital Strategy | Landscape Designer. He is currently based in Greater Delhi, India. He has worked on a number of projects including Wearable Technologies."
Ashish Tewari,Ashish Tewari is the Founder and CEO of Tweedle Technologies Pvt. Ltd. He is passionate about the environment and wants to create an ecosystem that has a measurable impact. Ashish has been an entrepreneur for 7 years 11 months and is currently working on his second project.
Chaitanya S,"Chaitanya S is the Chief Executive Officer of Circlegreen solutions. She is based in Chennai, Tamil Nadu, India. Chaitanya's background includes nan industry and nan technology. She has worked in the nan industry for more than a decade. She also has a background in finance and finance."
Dr. Afsar Sulaiman,phthalmologist Dr. Afsar Sulaiman currently working CEO GERMC. background includes Environmental Project Development Management Petroleum Refining Petrochemical Chemical Defense Medical etc Waste Characterization Treatability Evaluation ISO EPA ISO 14000 Systems Protocols Development Value added Waste Management(Waste Energy Products)
Urv Patel,"Urv Patel is the Chief Executive Officer Director of SWA Environmental Consultants Engineers. His background includes 7 years experience in the field of Water Wastewater Treatment plant design. He is based in Ahmedabad, Gujarat, India. He has worked for SWA for 7 years."
Cherish Tota,"Cherish Tota is the Chief Executive of Innovative Display Solutions. He is based in Bengaluru, Karnataka, India. Cherish's background includes nan industry. He has been working at the company for 9 years 6 months. He also has a PhD in nanotechnology from the Indian Institute of Technology, Bengaluru."
Abdulla Shaikh,"Abdulla Shaikh is the CEO of Maharashtra Biryani Center in Thane, Maharashtra, India. His background includes Greetings, Environmental Sciences and Mtech Environmental Engineering. He is a graduate of the Indian Institute of Technology, Mumbai. He has worked in the nan industry for 12 years and is currently working as a CEO of a nan industry company."
NAVEEN KUMAR,"Naveen Kumar is the CEO of E VAP ENGINEERING Services PVT LTD. He is based in Hyderabad Telangana, India. His background includes leading manufacturers MVRE and SMRUTHI ORGANICS. Naveen is currently working as a CEO at E Vap Engineering Services PVt LTD."
Richa Chopra,". Richa Chopra is the Founder CEO of GR Rapido Private Limited. She is based in Rajasthan, India. Her background includes coordination SPCB behalf Industries getting clearances. She has worked for two years and seven months in her current role."
Love Patadiya,"Love Patadiya is the founder and CEO of Soni Group Technologies EHS Consultancy. He has 20 + yrs experience in the EHS field having rich experience sectors like Pharmaceuticals Chemical Engineering and EPC Infrastructure. His company is based in Mehsana, Gujarat, India."
Parthesh Pandya,"Parthesh Pandya is the Chief Executive Officer of ITOWE Development Foundation. He is based in Ahmedabad, Gujarat, India. His background includes nan, nanotechnology and IT. He has worked for two years and five months in the IT industry. He was born in India and is a graduate of the University of Gujarat."
Daniel Wong,Daniel Wong is the Chief Executive Officer of Waterchem Engineering. His background includes Durgesh Thakur HydroMan. His company is based in the U.S. Environmental Services industry. He has worked in the industry for 10 years and is currently working on a new project.
Amit Tandon,"Amit Tandon currently working Founder CEO Polycycl based in Chandigarh, India. Tandon's background includes  “focused addressing biggest pain points.” PolyCycl's flagship technology enables conversion to waste plastics. The company's passion driving principles aim to deliver deliver deliver and leverage sound economics."
Ulavanagouda Patil," Ulavanagouda Patil currently working CEO ESHAN AIRFLOW SYSTEMS. Based in Karnataka India nan industry. background includes nan. Currently working as CEO of Eshan Airflow Systems, based in Bangalore, Karnataka, India. Back to Mail Online home. back to the page you came from."
BHAGWAN K.,                    BHAGWAN K. currently working Founder CEO Waatavaran. Based Mumbai Maharashtra India Non profit Organization Management industry. 22 years experience leading managing social environmental programs skills knowledge design implement innovative sustainable solutions pressing challenges times                                                               .
Pradnya Mathur,"Pradnya Mathur is the founder and CEO of DhARINYA. He is a passionate advocate of Systems Thinking Climate Change Education. Mathur's background includes working in the nan industry in Delhi, India. He has also worked in community based water budgeting and regenerative agriculture. His work has been published in the book ""Dharini Caring"""
Aswin Giri,"Aswin Giri is CEO Co Founder SENSurAir Private Limited based in Chennai, Tamil Nadu, India. Giri's background includes research scholar cum entrepreneur IIT Madras. He is working to develop a comprehensive Air Quality Index taking into account people perception air pollution."
Chandrakumar Sivaram,"Chandrakumar Sivaram is the founder and CEO of Ecotreat Engineering Consultants. His background includes nan industry. He is based in Kerala, India. He has worked in the nan industry for 12 years and is passionate about nan technology. He also has a background in engineering and design."
Gokul Rajendran,Gokul Rajendran currently working Founder CEO Govardhan App Social Media Biodiversity Indigenous Knowledge. Currently studying final year Kerala working developing Ayurveda medical science. Currently 2 android apps android Self Working Global Medicinal Plant Library making biggest library medicinal plants preserve traditional knowledge kick sustainable forest.
Amit Mishra PhD,"Amit Mishra PhD currently working as Chief Executive Officer of Terran India Foundation. Amit Mishra is a PhD Environment Science with 20 years experience in the environmental sector. He is also a Senior Environment Specialist at IQVIA, a leading global provider of advanced analytics technology solutions."
DHARAM RAJ SINGH, DHARAM RAJ SINGH currently working Chief Executive Officer RAJ ENVIROCARE. Background includes   M. Sc Environment Science Ph.D. Running Environmental science. 7 Year Working Experience Environmental Pollution Functional Area Expert Environmental Specialist. Based Lucknow Uttar Pradesh India Environmental Services industry.
"Priyanka Kochhar, Ph.D.","Priyanka Kochhar Ph.D. currently working Founder CEO Habitat Emprise. Her background includes Pursuing research green building policies implementation public procurement building projects ensure cost environmental sustainability. She is based in Greater Delhi Area nan industry. For more information on Priyanka and Habitat, visit www.habitat.com."
Mangesh Surve,"Mangesh Surve is the CEO of Aqua Laboratories in Pune, Maharashtra, India. His background includes Happy help find solution water waste water treatment. Surve is a graduate of the Indian Institute of Technology, Pune. He has worked in the nan industry for 12 years."
CA Vijay Kothari,"Vijay Kothari currently working CEO WOW WASTE MANAGEMENT PVT LTD. He is based in Ahmedabad Gujarat, India. His background includes THINK WASTE THINK WOW. His company has 72 years business Recycling Waste Management introduced organized transparent system December 2010."
Saloni Gopani,Saloni Gopani is the Founder and CEO of GoodStep Earth. She is a climate entrepreneur building GoodStep bootstrapped startup inventing simple + effective ways individuals businesses meaningful climate action. She has worked with Gates Foundation Bank America etc. She also works with e commerce4good custom built climate community platforms.
Dr. MVRL Murthy,"phthalmologist Dr. MVRL Murthy currently working Founder CEO eKO Knowledge.net in Hyderabad Telangana, India. Dr. Murthy's background includes Goal driven leader 31 + years experience areas ProjectManagement Hydro Geological Studies Water Resources Management Environmental Management sustainability umbrella."
Varshini Revathy Babu,"Varshini Revathy Babu currently working Founder CEO suzhal. Based Chennai Tamil Nadu India Environmental Services industry. Background includes nan and nan-nan. Currently working as Founder CEO of a company based in Chennai, Tamil Nadu, India. Has been at the company for 2 years 1 months."
S.JOHN ROBERT,"S. John Robert M.A MBA Ph D is the CEO of Earth Sense Recycle Pvt. Ltd. He has 20 + years progressive experience in business planning, corporate affairs, and sustainability. He is the author of a Ph D degree extensive research thesis Total Waste Management."
Sree Raam,"Sree Raam currently working Chief Executive Officer AATREL. Based in Chennai Tamil Nadu India nan industry. Background includes nan industry, nanotechnology and nanomaterials. Currently working as Chief Executive officer of AAT REL, a company that specialises in nanomethylaminobenzene."
NiPra Green Technologies Private Limited,ophobic    NiPra Green Technologies Private Limited currently working Founder Director. Based Vadodara Gujarat India nan industry. background includes years helm green initiatives expertise implementing alternative energy solutions wastewater treatment catalyzed transformation industrial processes. JVR Bearing played pivotal role ensuring environmental compliance securing necessary clearances.
Lakhwinder Hundal,Lakhwinder Hundal is the Chief Executive Officer of InNow India Pvt. Ltd. He is based in India and is passionate about the nan industry. His background includes nan industry and nanotechnology. He has been at the company for 5 years 8 months and is currently working as CEO.
T K Baskaran,T K Baskaran currently working CEO World Scrap Recycling Solutions Pvt Ltd. Based in Tirupati Andhra Pradesh India. Background includes 16 yrs experience E Waste management setup kind. End End Integrated Recy recycling facility highest legal processing capacity having cleared legal implications licenses.
Rajendra Kakarla Vesana (Raj K Vesana),"Rajendra Kakarla Vesana is the Director Chief Executive Officer of EcoVantage Ventures Private Limited. He is based in Bengaluru, Karnataka, India. He has 34 years experience in the corporate sector spanning software sales, investment management and wildlife conservation. He also has a passion for tiger reserves."
francin pinto, francin pinto is the Chief Executive Officer of International Green Venture Fund. He is a graduate of SNDT Women University's Computer Science Department. He has worked in the philanthropy industry for 3 years. He also has a Masters degree in Curriculum Instruction from SNDt Women University.
Barun Aggarwal,Barun Aggarwal currently working CEO Breathe Easy Consultants Pvt Ltd. Currently head BreatheEasy Consultants service Indoor Air Quality IAQ solutions company. Previously founded ran TalentGenie Inc. India based outsourcing play recruitment space. Previously worked Concurrent Computer Corp NASDAQ CCUR 8 years capacities heading European sales business development.
Sambhaji Shinde,                 Sambhaji Shinde currently working as Chief Executive Officer of ACHME WATER SOLUTIONS PRIVATE LIMITED. He is the founder and CEO of the company. He has been working at the company for 6 years 8 months. His background includes nan and he has worked in the Indian Utilities industry.
Ashok Srivastava,Ashok Srivastava is the Chief Executive Officer of BPC Global Innovative Environmental Solutions. He is also the Country Head of Aqwise -Wise Water Technologies Ltd. His background includes working in the Indian Environmental Services industry. He has been at BPC for 4 years and is currently in charge of its global innovation business.
Shashi K.,Shashi K. currently working Co Founder CEO EASEREGTECH LLP Easeregtech. Based Bengaluru Karnataka India nan industry. background includes Specialties Sustainable Development Corporate Social Responsibility Strategy Global Reporting Initiative GRI Consulting Advisory Research Sustainability Diversity Gender.
Suraj Nandakumar,Suraj Nandakumar is the CEO and Co Founder of RECITY Network Pvt. Ltd. He is passionate about enabling circularity cities by implementing City Planning principles. Suraj is a graduate of the University of Mumbai and has a Masters degree from the Indian Institute of Technology Bombay.
Naveen Verma,"Naveen Verma is the founder and CEO of Tatav Private Limited. His background includes Climate Change Mitigation making Ecology Alive. He is based in Delhi, India. He has worked in the nan industry for 13 years and is currently based in New Delhi. Naveen is a graduate of the Indian Institute of Technology, Delhi."
Rtn Raaja T,"phthalmologist and nan industry expert. Founder of Shri Ramm Inc. based in Tamil Nadu, India. Has worked in nan industry for 14 years. Currently working as CEO of nan industry company. Has been in the industry for more than 20 years. Has also worked in finance and IT."
Rajiv Gupta,Rajiv Gupta is the Co Founder CEO of E View Global Pvt Ltd. He is based in Mumbai Maharashtra India. He has worked in the textile industry for 14 years. His background includes marketing operations management and retail Textiles. He also has a Masters degree in Business Administration from the University of Mumbai.
Vikas Tripathi,Vikas Tripathi currently working Chief Executive Officer Parivesh Environmental Engineering Services. background includes Environmental professional 14 years experience EIA/ EMP Risk Safety field i.e. HAZOP HAZID QRA SIL Audit SIL classification verification Fire gas detection study EDD ESA TDD. experience Functional Safety IEC 61508 IEC 61511 SIL product Certification ISO 17024.
Pradeep Mishra,"Pradeep Mishra is the CEO of SYNDICATE SYSTEMS SERVICES. He is based in Pune Maharashtra India. His background includes approach Conservation systematic planning efficient team work. His specialties include water energy conservation implanting systems and biogas plants. For more information, visit www.syndicate.com."
